Ribosome_Fraction,Ribosome_Fraction_upper_error,Ribosome_Fraction_lower_error,Growth_rate,alpha0,alpha0_upper_error,alpha0_lower_error,Rf,Rf_lower_error,Rf_upper_error,density,total_ribosome_conc
0.085831803,0.090583747,0.081079859,0.035,0.0405,0.0375,0.0435,5941.922855,5526.008288,6366.367238,0.006803865,7022.602041
0.104413946,0.107442801,0.10138509,0.13,0.1265,0.119,0.1345,4879.82381,4592.221474,5175.826338,0.013892052,8542.959184
0.118571769,0.12560483,0.111538707,0.23,0.235,0.195,0.3,3518.13816,2767.664929,4230.650435,0.016508433,9701.326531
0.115032313,0.118889036,0.11117559,0.2,0.193,0.1755,0.2145,3997.295375,3605.245442,4385.652794,0.015928339,9411.734694
0.130075,0.130939712,0.129210288,0.29,0.29,0.28,0.3,3112.27434,3011.131231,3219.65157,0.017164203,10642.5
0.13449932,0.136826025,0.132172614,0.33,0.37,0.335,0.405,2547.722424,2327.396107,2809.442124,0.017568342,11004.4898
0.141578231,0.147693692,0.13546277,0.38,0.48,0.365,0.705,2047.86695,1397.831242,2687.432751,0.017873681,11583.67347
0.13449932,0.141291661,0.127706979,0.34,0.41,0.315,0.6,2319.708408,1590.238164,3013.78555,0.017685441,11004.4898
0.152196599,0.154431605,0.149961592,0.41,0.415,0.38,0.46,2413.986526,2179.491714,2635.348794,0.017790043,12452.44898
0.152196599,0.158989512,0.145403685,0.46,0.855,0.535,2.205,1209.258694,470.4063307,1927.773813,0.018207896,12452.44898
0.162814966,0.172889789,0.152740143,0.5,0.765,0.435,3.655,1375.600188,289.1585989,2412.589127,0.018147008,13321.22449
0.170778741,0.176393955,0.165163528,0.55,1.04,0.66,2.48,1032.723988,434.0049255,1624.361099,0.018216185,13972.80612
0.192015476,0.197295081,0.186735872,0.69,6.005,1.83,6.005,186.2166729,185.1611466,611.0637496,0.018283411,15710.35714
0.200864116,0.20339386,0.198334371,0.69,1.135,0.9,1.555,984.2433771,718.9197695,1240.532368,0.018106296,16434.33673
0.199094388,0.207572953,0.190615823,0.7,1.95,0.77,6.005,574.7760497,185.9431718,1452.454385,0.018181339,16289.54082
0.191130612,0.197969668,0.184291557,0.72,6.005,6.005,6.005,186.0442829,184.6497088,187.3321214,0.018288604,15637.95918
0.206173299,0.21962617,0.192720429,0.75,5.74,0.715,6.005,197.4462929,186.3527519,1580.030283,0.018199813,16868.72449
0.223870578,0.230873452,0.216867704,0.92,6.005,6.005,6.005,191.417681,190.4213887,192.3456766,0.018101325,18316.68367
0.240682993,0.260018729,0.221347258,0.95,6.005,0.84,6.005,193.5427698,191.0669195,1386.754514,0.018011127,19692.2449
0.237143537,0.248186984,0.226100091,0.99,6.005,6.005,6.005,193.1238516,191.7202187,194.3859332,0.018029713,19402.65306
0.26015,0.268051398,0.252248602,0.98,1.51,0.75,6.005,774.827844,194.8184386,1558.245459,0.017861614,21285
0.270768367,0.275553458,0.265983277,1.12,6.005,6.005,6.005,196.6033449,196.1694616,197.0199457,0.017862216,22153.77551
0.292005102,0.3080968,0.275913404,1.17,6.005,0.735,6.005,198.3331234,197.0506118,1618.595187,0.017766807,23891.32653
0.322090476,0.327461451,0.316719501,1.28,1.52,0.915,4.57,789.4576506,262.7444767,1310.772165,0.017611707,26352.85714
0.381376361,0.389714122,0.373038599,1.57,1.47,0.75,6.005,828.7138388,202.900927,1623.439398,0.017417396,31203.52041
0.421195238,0.430290006,0.41210047,1.8,5.715,1.145,6.005,215.0576733,204.3781214,1072.801936,0.017328184,34461.42857
